"role","group","page_id","current_label_key","target","decision","target_label"
"owner","time-attendance","schedule","","time-attendance","RENAME","Scheduling"
"owner","time-attendance","attendance","","time-attendance","KEEP","Attendance"
"owner","time-attendance","leave","","time-attendance","MOVE","Leave"
"owner","time-attendance","time","","time-attendance","RENAME","Timesheets"
"owner","people","people","","people-hr","KEEP","People"
"owner","people","hris","","people-hr","MOVE","HRIS"
"owner","people","organization","","people-hr","MOVE","Organization"
"owner","people","performance","","people-hr","MOVE","Performance"
"owner","operations","activity","","workforce-operations","MOVE","Activity Tracking"
"owner","operations","apps","","workforce-operations","RENAME","Apps & Websites"
"owner","operations","screenshots","","workforce-operations","MOVE","Screenshots"
"owner","operations","field","","workforce-operations","MOVE","Field Workforce"
"owner","operations","devices","","workforce-operations","MOVE","Devices & Agents"
"owner","clients","clients","","clients-commerce","KEEP","Clients"
"owner","clients","client-commerce","","clients-commerce","RENAME","Client Billing & Payments"
"owner","content","website","","content-studio","KEEP","Website Studio"
"owner","content","documents","","content-studio","KEEP","Document Studio"
"owner","content","media","","content-studio","KEEP","Media Library"
"owner","money","finance","","finance-payroll","RENAME","Expenses & Procurement"
"owner","money","payroll","","finance-payroll","KEEP","Payroll"
"owner","money","payroll-compliance","","finance-payroll","MOVE","Payroll Compliance"
"owner","money","billing","","finance-payroll","MOVE","Workspace Billing"
"owner","insights","insights","","intelligence","RENAME","Workforce Intelligence"
"owner","insights","reports","","intelligence","MOVE","Reports"
"owner","administration","modules","","administration","KEEP","Modules"
"owner","administration","platform","","platform-console","MOVE","Platform Workspace Tools"
"owner","administration","enterprise","","administration","MOVE","Enterprise Governance"
"owner","administration","access","","administration","RENAME","Roles & Access"
"owner","administration","settings","","administration","MOVE","Settings"
"owner","administration","trash","","administration","MOVE","Trash & Recovery"
"owner","account","downloads","","account-support","MOVE","Installation Center"
"owner","account","account","","account-support","MOVE","My Account"
