"file","page_id","component","target","decision","label","description","raw_buttons","raw_inputs","inline_styles"
"resources/js/pages/SchedulingHub.tsx","schedule","SchedulingHub","time-attendance","RENAME","Scheduling","Canonical schedule destination for rosters, shifts and requests.","0","0","0"
"resources/js/pages/Screenshots.tsx","screenshots","Screenshots","workforce-operations","MOVE","Screenshots","Screenshot review, retention and storage operations.","1","0","27"
"resources/js/pages/SellerConsole.tsx","","SellerConsole","platform-console","KEEP","SellerConsole","Dedicated seller/operator console surface.","0","0","50"
"resources/js/pages/Settings.tsx","settings","Settings","administration","MOVE","Settings","Workspace configuration, branding and preferences.","1","0","30"
"resources/js/pages/Shifts.tsx","shifts","Shifts","time-attendance","MERGE","Shifts","Legacy/secondary shift destination; functionality moves under Scheduling.","3","2","24"
"resources/js/pages/Tasks.tsx","tasks","Tasks","work-management","KEEP","Tasks","Personal and team task execution.","9","0","10"
"resources/js/pages/Timesheets.tsx","time","Timesheets","time-attendance","RENAME","Timesheets","Tracked time, submissions and approvals.","1","0","18"
"resources/js/pages/TrashCenter.tsx","trash","TrashCenter","administration","MOVE","Trash & Recovery","Recoverable deletions and lifecycle administration.","0","0","0"
"resources/js/pages/WebsiteStudio.tsx","website","WebsiteStudio","content-studio","KEEP","Website Studio","Visual website creation, preview and publishing.","4","0","1"
"resources/js/pages/auth/AuthLayout.tsx","","AuthLayout","authentication","KEEP","AuthLayout","Authentication/supporting auth surface.","0","0","1"
"resources/js/pages/auth/AuthScreen.tsx","","AuthScreen","authentication","KEEP","AuthScreen","Authentication/supporting auth surface.","0","0","0"
"resources/js/pages/auth/ForcePasswordChange.tsx","","ForcePasswordChange","authentication","KEEP","ForcePasswordChange","Authentication/supporting auth surface.","0","0","6"
"resources/js/pages/auth/JoinWorkspace.tsx","","JoinWorkspace","authentication","KEEP","JoinWorkspace","Authentication/supporting auth surface.","1","0","0"
"resources/js/pages/auth/Login.tsx","","Login","authentication","KEEP","Login","Authentication/supporting auth surface.","5","1","0"
"resources/js/pages/auth/PasswordRecovery.tsx","","PasswordRecovery","authentication","KEEP","PasswordRecovery","Authentication/supporting auth surface.","2","0","0"
"resources/js/pages/auth/Register.tsx","","Register","authentication","KEEP","Register","Authentication/supporting auth surface.","1","1","0"
"resources/js/pages/auth/VerifyEmail.tsx","","VerifyEmail","authentication","KEEP","VerifyEmail","Authentication/supporting auth surface.","0","0","0"
"resources/js/pages/settings/M13Settings.tsx","","M13Settings","administration","KEEP","M13Settings","Administration settings subpage.","0","0","38"
"resources/js/pages/settings/ScreenshotStorageSettings.tsx","","ScreenshotStorageSettings","administration","KEEP","ScreenshotStorageSettings","Administration settings subpage.","0","0","18"
